"","IV_ID","TRANSFORM","LAG","IV_NAME","IV_GROUP"
"25","IPFINAL","MoMDifference","L0","IPFINALMoMDifferenceL0","placeholder7"
"26","IPFINAL","MoMDifference","L1","IPFINALMoMDifferenceL1","placeholder7"
"27","IPFINAL","MoMPercentChange","L0","IPFINALMoMPercentChangeL0","placeholder7"
"28","IPFINAL","MoMPercentChange","L1","IPFINALMoMPercentChangeL1","placeholder7"
"29","IPCONGD","MoMDifference","L0","IPCONGDMoMDifferenceL0","placeholder8"
"30","IPCONGD","MoMDifference","L1","IPCONGDMoMDifferenceL1","placeholder8"
"31","IPCONGD","MoMPercentChange","L0","IPCONGDMoMPercentChangeL0","placeholder8"
"32","IPCONGD","MoMPercentChange","L1","IPCONGDMoMPercentChangeL1","placeholder8"
"33","IPDCONGD","MoMDifference","L0","IPDCONGDMoMDifferenceL0","placeholder9"
"34","IPDCONGD","MoMDifference","L1","IPDCONGDMoMDifferenceL1","placeholder9"
"35","IPDCONGD","MoMPercentChange","L0","IPDCONGDMoMPercentChangeL0","placeholder9"
"36","IPDCONGD","MoMPercentChange","L1","IPDCONGDMoMPercentChangeL1","placeholder9"
"37","IPNCONGD","MoMDifference","L0","IPNCONGDMoMDifferenceL0","placeholder10"
"38","IPNCONGD","MoMDifference","L1","IPNCONGDMoMDifferenceL1","placeholder10"
"39","IPNCONGD","MoMPercentChange","L0","IPNCONGDMoMPercentChangeL0","placeholder10"
"40","IPNCONGD","MoMPercentChange","L1","IPNCONGDMoMPercentChangeL1","placeholder10"
"41","IPBUSEQ","MoMDifference","L0","IPBUSEQMoMDifferenceL0","placeholder11"
"42","IPBUSEQ","MoMDifference","L1","IPBUSEQMoMDifferenceL1","placeholder11"
"43","IPBUSEQ","MoMPercentChange","L0","IPBUSEQMoMPercentChangeL0","placeholder11"
"44","IPBUSEQ","MoMPercentChange","L1","IPBUSEQMoMPercentChangeL1","placeholder11"
"45","IPMAT","MoMDifference","L0","IPMATMoMDifferenceL0","placeholder12"
"46","IPMAT","MoMDifference","L1","IPMATMoMDifferenceL1","placeholder12"
"47","IPMAT","MoMPercentChange","L0","IPMATMoMPercentChangeL0","placeholder12"
"48","IPMAT","MoMPercentChange","L1","IPMATMoMPercentChangeL1","placeholder12"
"49","IPDMAT","MoMDifference","L0","IPDMATMoMDifferenceL0","placeholder13"
"50","IPDMAT","MoMDifference","L1","IPDMATMoMDifferenceL1","placeholder13"
"51","IPDMAT","MoMPercentChange","L0","IPDMATMoMPercentChangeL0","placeholder13"
"52","IPDMAT","MoMPercentChange","L1","IPDMATMoMPercentChangeL1","placeholder13"
"53","IPNMAT","MoMDifference","L0","IPNMATMoMDifferenceL0","placeholder14"
"54","IPNMAT","MoMDifference","L1","IPNMATMoMDifferenceL1","placeholder14"
"55","IPNMAT","MoMPercentChange","L0","IPNMATMoMPercentChangeL0","placeholder14"
"56","IPNMAT","MoMPercentChange","L1","IPNMATMoMPercentChangeL1","placeholder14"
"57","IPMANSICS","MoMDifference","L0","IPMANSICSMoMDifferenceL0","placeholder15"
"58","IPMANSICS","MoMDifference","L1","IPMANSICSMoMDifferenceL1","placeholder15"
"59","IPMANSICS","MoMPercentChange","L0","IPMANSICSMoMPercentChangeL0","placeholder15"
"60","IPMANSICS","MoMPercentChange","L1","IPMANSICSMoMPercentChangeL1","placeholder15"
"61","IPB51222S","MoMDifference","L0","IPB51222SMoMDifferenceL0","placeholder16"
"62","IPB51222S","MoMDifference","L1","IPB51222SMoMDifferenceL1","placeholder16"
"63","IPB51222S","MoMPercentChange","L0","IPB51222SMoMPercentChangeL0","placeholder16"
"64","IPB51222S","MoMPercentChange","L1","IPB51222SMoMPercentChangeL1","placeholder16"
"65","IPFUELS","MoMDifference","L0","IPFUELSMoMDifferenceL0","placeholder17"
"66","IPFUELS","MoMDifference","L1","IPFUELSMoMDifferenceL1","placeholder17"
"67","IPFUELS","MoMPercentChange","L0","IPFUELSMoMPercentChangeL0","placeholder17"
"68","IPFUELS","MoMPercentChange","L1","IPFUELSMoMPercentChangeL1","placeholder17"
"69","CUMFNS","MoMDifference","L0","CUMFNSMoMDifferenceL0","placeholder18"
"70","CUMFNS","MoMDifference","L1","CUMFNSMoMDifferenceL1","placeholder18"
"71","CUMFNS","MoMPercentChange","L0","CUMFNSMoMPercentChangeL0","placeholder18"
"72","CUMFNS","MoMPercentChange","L1","CUMFNSMoMPercentChangeL1","placeholder18"
"73","CLF16OV","MoMDifference","L0","CLF16OVMoMDifferenceL0","placeholder19"
"74","CLF16OV","MoMDifference","L1","CLF16OVMoMDifferenceL1","placeholder19"
"75","CLF16OV","MoMPercentChange","L0","CLF16OVMoMPercentChangeL0","placeholder19"
"76","CLF16OV","MoMPercentChange","L1","CLF16OVMoMPercentChangeL1","placeholder19"
"77","CE16OV","MoMDifference","L0","CE16OVMoMDifferenceL0","placeholder20"
"78","CE16OV","MoMDifference","L1","CE16OVMoMDifferenceL1","placeholder20"
"79","CE16OV","MoMPercentChange","L0","CE16OVMoMPercentChangeL0","placeholder20"
"80","CE16OV","MoMPercentChange","L1","CE16OVMoMPercentChangeL1","placeholder20"
"81","UNRATE","MoMDifference","L0","UNRATEMoMDifferenceL0","placeholder21"
"82","UNRATE","MoMDifference","L1","UNRATEMoMDifferenceL1","placeholder21"
"83","UNRATE","MoMPercentChange","L0","UNRATEMoMPercentChangeL0","placeholder21"
"84","UNRATE","MoMPercentChange","L1","UNRATEMoMPercentChangeL1","placeholder21"
"85","UEMPMEAN","MoMDifference","L0","UEMPMEANMoMDifferenceL0","placeholder22"
"86","UEMPMEAN","MoMDifference","L1","UEMPMEANMoMDifferenceL1","placeholder22"
"87","UEMPMEAN","MoMPercentChange","L0","UEMPMEANMoMPercentChangeL0","placeholder22"
"88","UEMPMEAN","MoMPercentChange","L1","UEMPMEANMoMPercentChangeL1","placeholder22"
"89","UEMPLT5","MoMDifference","L0","UEMPLT5MoMDifferenceL0","placeholder23"
"90","UEMPLT5","MoMDifference","L1","UEMPLT5MoMDifferenceL1","placeholder23"
"91","UEMPLT5","MoMPercentChange","L0","UEMPLT5MoMPercentChangeL0","placeholder23"
"92","UEMPLT5","MoMPercentChange","L1","UEMPLT5MoMPercentChangeL1","placeholder23"
"93","UEMP5TO14","MoMDifference","L0","UEMP5TO14MoMDifferenceL0","placeholder24"
"94","UEMP5TO14","MoMDifference","L1","UEMP5TO14MoMDifferenceL1","placeholder24"
"95","UEMP5TO14","MoMPercentChange","L0","UEMP5TO14MoMPercentChangeL0","placeholder24"
"96","UEMP5TO14","MoMPercentChange","L1","UEMP5TO14MoMPercentChangeL1","placeholder24"
"97","UEMP15OV","MoMDifference","L0","UEMP15OVMoMDifferenceL0","placeholder25"
"98","UEMP15OV","MoMDifference","L1","UEMP15OVMoMDifferenceL1","placeholder25"
"99","UEMP15OV","MoMPercentChange","L0","UEMP15OVMoMPercentChangeL0","placeholder25"
"100","UEMP15OV","MoMPercentChange","L1","UEMP15OVMoMPercentChangeL1","placeholder25"
"101","UEMP15T26","MoMDifference","L0","UEMP15T26MoMDifferenceL0","placeholder26"
"102","UEMP15T26","MoMDifference","L1","UEMP15T26MoMDifferenceL1","placeholder26"
"103","UEMP15T26","MoMPercentChange","L0","UEMP15T26MoMPercentChangeL0","placeholder26"
"104","UEMP15T26","MoMPercentChange","L1","UEMP15T26MoMPercentChangeL1","placeholder26"
"105","UEMP27OV","MoMDifference","L0","UEMP27OVMoMDifferenceL0","placeholder27"
"106","UEMP27OV","MoMDifference","L1","UEMP27OVMoMDifferenceL1","placeholder27"
"107","UEMP27OV","MoMPercentChange","L0","UEMP27OVMoMPercentChangeL0","placeholder27"
"108","UEMP27OV","MoMPercentChange","L1","UEMP27OVMoMPercentChangeL1","placeholder27"
"109","PAYEMS","MoMDifference","L0","PAYEMSMoMDifferenceL0","placeholder28"
"110","PAYEMS","MoMDifference","L1","PAYEMSMoMDifferenceL1","placeholder28"
"111","PAYEMS","MoMPercentChange","L0","PAYEMSMoMPercentChangeL0","placeholder28"
"112","PAYEMS","MoMPercentChange","L1","PAYEMSMoMPercentChangeL1","placeholder28"
"113","USGOOD","MoMDifference","L0","USGOODMoMDifferenceL0","placeholder29"
"114","USGOOD","MoMDifference","L1","USGOODMoMDifferenceL1","placeholder29"
"115","USGOOD","MoMPercentChange","L0","USGOODMoMPercentChangeL0","placeholder29"
"116","USGOOD","MoMPercentChange","L1","USGOODMoMPercentChangeL1","placeholder29"
"117","CES1021000001","MoMDifference","L0","CES1021000001MoMDifferenceL0","placeholder30"
"118","CES1021000001","MoMDifference","L1","CES1021000001MoMDifferenceL1","placeholder30"
"119","CES1021000001","MoMPercentChange","L0","CES1021000001MoMPercentChangeL0","placeholder30"
"120","CES1021000001","MoMPercentChange","L1","CES1021000001MoMPercentChangeL1","placeholder30"
"121","USCONS","MoMDifference","L0","USCONSMoMDifferenceL0","placeholder31"
"122","USCONS","MoMDifference","L1","USCONSMoMDifferenceL1","placeholder31"
"123","USCONS","MoMPercentChange","L0","USCONSMoMPercentChangeL0","placeholder31"
"124","USCONS","MoMPercentChange","L1","USCONSMoMPercentChangeL1","placeholder31"
"125","MANEMP","MoMDifference","L0","MANEMPMoMDifferenceL0","placeholder32"
"126","MANEMP","MoMDifference","L1","MANEMPMoMDifferenceL1","placeholder32"
"127","MANEMP","MoMPercentChange","L0","MANEMPMoMPercentChangeL0","placeholder32"
"128","MANEMP","MoMPercentChange","L1","MANEMPMoMPercentChangeL1","placeholder32"
"129","DMANEMP","MoMDifference","L0","DMANEMPMoMDifferenceL0","placeholder33"
"130","DMANEMP","MoMDifference","L1","DMANEMPMoMDifferenceL1","placeholder33"
"131","DMANEMP","MoMPercentChange","L0","DMANEMPMoMPercentChangeL0","placeholder33"
"132","DMANEMP","MoMPercentChange","L1","DMANEMPMoMPercentChangeL1","placeholder33"
"133","SRVPRD","MoMDifference","L0","SRVPRDMoMDifferenceL0","placeholder34"
"134","SRVPRD","MoMDifference","L1","SRVPRDMoMDifferenceL1","placeholder34"
"135","SRVPRD","MoMPercentChange","L0","SRVPRDMoMPercentChangeL0","placeholder34"
"136","SRVPRD","MoMPercentChange","L1","SRVPRDMoMPercentChangeL1","placeholder34"
"137","USWTRADE","MoMDifference","L0","USWTRADEMoMDifferenceL0","placeholder35"
"138","USWTRADE","MoMDifference","L1","USWTRADEMoMDifferenceL1","placeholder35"
"139","USWTRADE","MoMPercentChange","L0","USWTRADEMoMPercentChangeL0","placeholder35"
"140","USWTRADE","MoMPercentChange","L1","USWTRADEMoMPercentChangeL1","placeholder35"
"141","USTRADE","MoMDifference","L0","USTRADEMoMDifferenceL0","placeholder36"
"142","USTRADE","MoMDifference","L1","USTRADEMoMDifferenceL1","placeholder36"
"143","USTRADE","MoMPercentChange","L0","USTRADEMoMPercentChangeL0","placeholder36"
"144","USTRADE","MoMPercentChange","L1","USTRADEMoMPercentChangeL1","placeholder36"
"145","USFIRE","MoMDifference","L0","USFIREMoMDifferenceL0","placeholder37"
"146","USFIRE","MoMDifference","L1","USFIREMoMDifferenceL1","placeholder37"
"147","USFIRE","MoMPercentChange","L0","USFIREMoMPercentChangeL0","placeholder37"
"148","USFIRE","MoMPercentChange","L1","USFIREMoMPercentChangeL1","placeholder37"
"149","USGOVT","MoMDifference","L0","USGOVTMoMDifferenceL0","placeholder38"
"150","USGOVT","MoMDifference","L1","USGOVTMoMDifferenceL1","placeholder38"
"151","USGOVT","MoMPercentChange","L0","USGOVTMoMPercentChangeL0","placeholder38"
"152","USGOVT","MoMPercentChange","L1","USGOVTMoMPercentChangeL1","placeholder38"
"153","CES0600000007","MoMDifference","L0","CES0600000007MoMDifferenceL0","placeholder39"
"154","CES0600000007","MoMDifference","L1","CES0600000007MoMDifferenceL1","placeholder39"
"155","CES0600000007","MoMPercentChange","L0","CES0600000007MoMPercentChangeL0","placeholder39"
"156","CES0600000007","MoMPercentChange","L1","CES0600000007MoMPercentChangeL1","placeholder39"
"157","AWOTMAN","MoMDifference","L0","AWOTMANMoMDifferenceL0","placeholder40"
"158","AWOTMAN","MoMDifference","L1","AWOTMANMoMDifferenceL1","placeholder40"
"159","AWOTMAN","MoMPercentChange","L0","AWOTMANMoMPercentChangeL0","placeholder40"
"160","AWOTMAN","MoMPercentChange","L1","AWOTMANMoMPercentChangeL1","placeholder40"
"161","AWHMAN","MoMDifference","L0","AWHMANMoMDifferenceL0","placeholder41"
"162","AWHMAN","MoMDifference","L1","AWHMANMoMDifferenceL1","placeholder41"
"163","AWHMAN","MoMPercentChange","L0","AWHMANMoMPercentChangeL0","placeholder41"
"164","AWHMAN","MoMPercentChange","L1","AWHMANMoMPercentChangeL1","placeholder41"
"165","HOUST","MoMDifference","L0","HOUSTMoMDifferenceL0","placeholder42"
"166","HOUST","MoMDifference","L1","HOUSTMoMDifferenceL1","placeholder42"
"167","HOUST","MoMPercentChange","L0","HOUSTMoMPercentChangeL0","placeholder42"
"168","HOUST","MoMPercentChange","L1","HOUSTMoMPercentChangeL1","placeholder42"
"169","HOUSTNE","MoMDifference","L0","HOUSTNEMoMDifferenceL0","placeholder43"
"170","HOUSTNE","MoMDifference","L1","HOUSTNEMoMDifferenceL1","placeholder43"
"171","HOUSTNE","MoMPercentChange","L0","HOUSTNEMoMPercentChangeL0","placeholder43"
"172","HOUSTNE","MoMPercentChange","L1","HOUSTNEMoMPercentChangeL1","placeholder43"
"173","HOUSTMW","MoMDifference","L0","HOUSTMWMoMDifferenceL0","placeholder44"
"174","HOUSTMW","MoMDifference","L1","HOUSTMWMoMDifferenceL1","placeholder44"
"175","HOUSTMW","MoMPercentChange","L0","HOUSTMWMoMPercentChangeL0","placeholder44"
"176","HOUSTMW","MoMPercentChange","L1","HOUSTMWMoMPercentChangeL1","placeholder44"
"177","HOUSTS","MoMDifference","L0","HOUSTSMoMDifferenceL0","placeholder45"
"178","HOUSTS","MoMDifference","L1","HOUSTSMoMDifferenceL1","placeholder45"
"179","HOUSTS","MoMPercentChange","L0","HOUSTSMoMPercentChangeL0","placeholder45"
"180","HOUSTS","MoMPercentChange","L1","HOUSTSMoMPercentChangeL1","placeholder45"
"181","HOUSTW","MoMDifference","L0","HOUSTWMoMDifferenceL0","placeholder46"
"182","HOUSTW","MoMDifference","L1","HOUSTWMoMDifferenceL1","placeholder46"
"183","HOUSTW","MoMPercentChange","L0","HOUSTWMoMPercentChangeL0","placeholder46"
"184","HOUSTW","MoMPercentChange","L1","HOUSTWMoMPercentChangeL1","placeholder46"
"185","ISRATIO","MoMDifference","L0","ISRATIOMoMDifferenceL0","placeholder47"
"186","ISRATIO","MoMDifference","L1","ISRATIOMoMDifferenceL1","placeholder47"
"187","ISRATIO","MoMPercentChange","L0","ISRATIOMoMPercentChangeL0","placeholder47"
"188","ISRATIO","MoMPercentChange","L1","ISRATIOMoMPercentChangeL1","placeholder47"
"189","M1SL","MoMDifference","L0","M1SLMoMDifferenceL0","placeholder48"
"190","M1SL","MoMDifference","L1","M1SLMoMDifferenceL1","placeholder48"
"191","M1SL","MoMPercentChange","L0","M1SLMoMPercentChangeL0","placeholder48"
"192","M1SL","MoMPercentChange","L1","M1SLMoMPercentChangeL1","placeholder48"
"193","M2SL","MoMDifference","L0","M2SLMoMDifferenceL0","placeholder49"
"194","M2SL","MoMDifference","L1","M2SLMoMDifferenceL1","placeholder49"
"195","M2SL","MoMPercentChange","L0","M2SLMoMPercentChangeL0","placeholder49"
"196","M2SL","MoMPercentChange","L1","M2SLMoMPercentChangeL1","placeholder49"
"197","M2REAL","MoMDifference","L0","M2REALMoMDifferenceL0","placeholder50"
"198","M2REAL","MoMDifference","L1","M2REALMoMDifferenceL1","placeholder50"
"199","M2REAL","MoMPercentChange","L0","M2REALMoMPercentChangeL0","placeholder50"
"200","M2REAL","MoMPercentChange","L1","M2REALMoMPercentChangeL1","placeholder50"
"201","AMBSL","MoMDifference","L0","AMBSLMoMDifferenceL0","placeholder51"
"202","AMBSL","MoMDifference","L1","AMBSLMoMDifferenceL1","placeholder51"
"203","AMBSL","MoMPercentChange","L0","AMBSLMoMPercentChangeL0","placeholder51"
"204","AMBSL","MoMPercentChange","L1","AMBSLMoMPercentChangeL1","placeholder51"
"205","BUSLOANS","MoMDifference","L0","BUSLOANSMoMDifferenceL0","placeholder52"
"206","BUSLOANS","MoMDifference","L1","BUSLOANSMoMDifferenceL1","placeholder52"
"207","BUSLOANS","MoMPercentChange","L0","BUSLOANSMoMPercentChangeL0","placeholder52"
"208","BUSLOANS","MoMPercentChange","L1","BUSLOANSMoMPercentChangeL1","placeholder52"
"209","REALLN","MoMDifference","L0","REALLNMoMDifferenceL0","placeholder53"
"210","REALLN","MoMDifference","L1","REALLNMoMDifferenceL1","placeholder53"
"211","REALLN","MoMPercentChange","L0","REALLNMoMPercentChangeL0","placeholder53"
"212","REALLN","MoMPercentChange","L1","REALLNMoMPercentChangeL1","placeholder53"
"213","WPSFD49207","MoMDifference","L0","WPSFD49207MoMDifferenceL0","placeholder54"
"214","WPSFD49207","MoMDifference","L1","WPSFD49207MoMDifferenceL1","placeholder54"
"215","WPSFD49207","MoMPercentChange","L0","WPSFD49207MoMPercentChangeL0","placeholder54"
"216","WPSFD49207","MoMPercentChange","L1","WPSFD49207MoMPercentChangeL1","placeholder54"
"217","WPSFD49502","MoMDifference","L0","WPSFD49502MoMDifferenceL0","placeholder55"
"218","WPSFD49502","MoMDifference","L1","WPSFD49502MoMDifferenceL1","placeholder55"
"219","WPSFD49502","MoMPercentChange","L0","WPSFD49502MoMPercentChangeL0","placeholder55"
"220","WPSFD49502","MoMPercentChange","L1","WPSFD49502MoMPercentChangeL1","placeholder55"
"221","WPSID61","MoMDifference","L0","WPSID61MoMDifferenceL0","placeholder56"
"222","WPSID61","MoMDifference","L1","WPSID61MoMDifferenceL1","placeholder56"
"223","WPSID61","MoMPercentChange","L0","WPSID61MoMPercentChangeL0","placeholder56"
"224","WPSID61","MoMPercentChange","L1","WPSID61MoMPercentChangeL1","placeholder56"
"225","WPSID62","MoMDifference","L0","WPSID62MoMDifferenceL0","placeholder57"
"226","WPSID62","MoMDifference","L1","WPSID62MoMDifferenceL1","placeholder57"
"227","WPSID62","MoMPercentChange","L0","WPSID62MoMPercentChangeL0","placeholder57"
"228","WPSID62","MoMPercentChange","L1","WPSID62MoMPercentChangeL1","placeholder57"
"229","MZMSL","MoMDifference","L0","MZMSLMoMDifferenceL0","placeholder58"
"230","MZMSL","MoMDifference","L1","MZMSLMoMDifferenceL1","placeholder58"
"231","MZMSL","MoMPercentChange","L0","MZMSLMoMPercentChangeL0","placeholder58"
"232","MZMSL","MoMPercentChange","L1","MZMSLMoMPercentChangeL1","placeholder58"
"233","DTCOLNVHFNM","MoMDifference","L0","DTCOLNVHFNMMoMDifferenceL0","placeholder59"
"234","DTCOLNVHFNM","MoMDifference","L1","DTCOLNVHFNMMoMDifferenceL1","placeholder59"
"235","DTCOLNVHFNM","MoMPercentChange","L0","DTCOLNVHFNMMoMPercentChangeL0","placeholder59"
"236","DTCOLNVHFNM","MoMPercentChange","L1","DTCOLNVHFNMMoMPercentChangeL1","placeholder59"
"237","DTCTHFNM","MoMDifference","L0","DTCTHFNMMoMDifferenceL0","placeholder60"
"238","DTCTHFNM","MoMDifference","L1","DTCTHFNMMoMDifferenceL1","placeholder60"
"239","DTCTHFNM","MoMPercentChange","L0","DTCTHFNMMoMPercentChangeL0","placeholder60"
"240","DTCTHFNM","MoMPercentChange","L1","DTCTHFNMMoMPercentChangeL1","placeholder60"
"241","INVEST","MoMDifference","L0","INVESTMoMDifferenceL0","placeholder61"
"242","INVEST","MoMDifference","L1","INVESTMoMDifferenceL1","placeholder61"
"243","INVEST","MoMPercentChange","L0","INVESTMoMPercentChangeL0","placeholder61"
"244","INVEST","MoMPercentChange","L1","INVESTMoMPercentChangeL1","placeholder61"
"245","ism_man_empl","MoMDifference","L0","ism_man_emplMoMDifferenceL0","placeholder62"
"246","ism_man_empl","MoMDifference","L1","ism_man_emplMoMDifferenceL1","placeholder62"
"247","ism_man_empl","MoMPercentChange","L0","ism_man_emplMoMPercentChangeL0","placeholder62"
"248","ism_man_empl","MoMPercentChange","L1","ism_man_emplMoMPercentChangeL1","placeholder62"
"249","ism_man_neworders","MoMDifference","L0","ism_man_newordersMoMDifferenceL0","placeholder63"
"250","ism_man_neworders","MoMDifference","L1","ism_man_newordersMoMDifferenceL1","placeholder63"
"251","ism_man_neworders","MoMPercentChange","L0","ism_man_newordersMoMPercentChangeL0","placeholder63"
"252","ism_man_neworders","MoMPercentChange","L1","ism_man_newordersMoMPercentChangeL1","placeholder63"
"253","ism_man_pmi","MoMDifference","L0","ism_man_pmiMoMDifferenceL0","placeholder64"
"254","ism_man_pmi","MoMDifference","L1","ism_man_pmiMoMDifferenceL1","placeholder64"
"255","ism_man_pmi","MoMPercentChange","L0","ism_man_pmiMoMPercentChangeL0","placeholder64"
"256","ism_man_pmi","MoMPercentChange","L1","ism_man_pmiMoMPercentChangeL1","placeholder64"
"257","ism_man_prices","MoMDifference","L0","ism_man_pricesMoMDifferenceL0","placeholder65"
"258","ism_man_prices","MoMDifference","L1","ism_man_pricesMoMDifferenceL1","placeholder65"
"259","ism_man_prices","MoMPercentChange","L0","ism_man_pricesMoMPercentChangeL0","placeholder65"
"260","ism_man_prices","MoMPercentChange","L1","ism_man_pricesMoMPercentChangeL1","placeholder65"
"261","USGG2YR_Index","MoMDifference","L0","USGG2YR_IndexMoMDifferenceL0","placeholder66"
"262","USGG2YR_Index","MoMDifference","L1","USGG2YR_IndexMoMDifferenceL1","placeholder66"
"263","USGG2YR_Index","MoMPercentChange","L0","USGG2YR_IndexMoMPercentChangeL0","placeholder66"
"264","USGG2YR_Index","MoMPercentChange","L1","USGG2YR_IndexMoMPercentChangeL1","placeholder66"
"265","USGG10YR_Index","MoMDifference","L0","USGG10YR_IndexMoMDifferenceL0","placeholder67"
"266","USGG10YR_Index","MoMDifference","L1","USGG10YR_IndexMoMDifferenceL1","placeholder67"
"267","USGG10YR_Index","MoMPercentChange","L0","USGG10YR_IndexMoMPercentChangeL0","placeholder67"
"268","USGG10YR_Index","MoMPercentChange","L1","USGG10YR_IndexMoMPercentChangeL1","placeholder67"
"269","USGG30YR_Index","MoMDifference","L0","USGG30YR_IndexMoMDifferenceL0","placeholder68"
"270","USGG30YR_Index","MoMDifference","L1","USGG30YR_IndexMoMDifferenceL1","placeholder68"
"271","USGG30YR_Index","MoMPercentChange","L0","USGG30YR_IndexMoMPercentChangeL0","placeholder68"
"272","USGG30YR_Index","MoMPercentChange","L1","USGG30YR_IndexMoMPercentChangeL1","placeholder68"
"273","VIX_Index","MoMDifference","L0","VIX_IndexMoMDifferenceL0","placeholder69"
"274","VIX_Index","MoMDifference","L1","VIX_IndexMoMDifferenceL1","placeholder69"
"275","VIX_Index","MoMPercentChange","L0","VIX_IndexMoMPercentChangeL0","placeholder69"
"276","VIX_Index","MoMPercentChange","L1","VIX_IndexMoMPercentChangeL1","placeholder69"
"277","MOVE_Index","MoMDifference","L0","MOVE_IndexMoMDifferenceL0","placeholder70"
"278","MOVE_Index","MoMDifference","L1","MOVE_IndexMoMDifferenceL1","placeholder70"
"279","MOVE_Index","MoMPercentChange","L0","MOVE_IndexMoMPercentChangeL0","placeholder70"
"280","MOVE_Index","MoMPercentChange","L1","MOVE_IndexMoMPercentChangeL1","placeholder70"
"281","AAIIBULL_Index","MoMDifference","L0","AAIIBULL_IndexMoMDifferenceL0","placeholder71"
"282","AAIIBULL_Index","MoMDifference","L1","AAIIBULL_IndexMoMDifferenceL1","placeholder71"
"283","AAIIBULL_Index","MoMPercentChange","L0","AAIIBULL_IndexMoMPercentChangeL0","placeholder71"
"284","AAIIBULL_Index","MoMPercentChange","L1","AAIIBULL_IndexMoMPercentChangeL1","placeholder71"
"285","AAIIBEAR_Index","MoMDifference","L0","AAIIBEAR_IndexMoMDifferenceL0","placeholder72"
"286","AAIIBEAR_Index","MoMDifference","L1","AAIIBEAR_IndexMoMDifferenceL1","placeholder72"
"287","AAIIBEAR_Index","MoMPercentChange","L0","AAIIBEAR_IndexMoMPercentChangeL0","placeholder72"
"288","AAIIBEAR_Index","MoMPercentChange","L1","AAIIBEAR_IndexMoMPercentChangeL1","placeholder72"
"289","SPX_Index_14DRSI","MoMDifference","L0","SPX_Index_14DRSIMoMDifferenceL0","placeholder73"
"290","SPX_Index_14DRSI","MoMDifference","L1","SPX_Index_14DRSIMoMDifferenceL1","placeholder73"
"291","SPX_Index_14DRSI","MoMPercentChange","L0","SPX_Index_14DRSIMoMPercentChangeL0","placeholder73"
"292","SPX_Index_14DRSI","MoMPercentChange","L1","SPX_Index_14DRSIMoMPercentChangeL1","placeholder73"
"293","SPX_Index_30DRSI","MoMDifference","L0","SPX_Index_30DRSIMoMDifferenceL0","placeholder74"
"294","SPX_Index_30DRSI","MoMDifference","L1","SPX_Index_30DRSIMoMDifferenceL1","placeholder74"
"295","SPX_Index_30DRSI","MoMPercentChange","L0","SPX_Index_30DRSIMoMPercentChangeL0","placeholder74"
"296","SPX_Index_30DRSI","MoMPercentChange","L1","SPX_Index_30DRSIMoMPercentChangeL1","placeholder74"
"297","TED_G_Index","MoMDifference","L0","TED_G_IndexMoMDifferenceL0","placeholder75"
"298","TED_G_Index","MoMDifference","L1","TED_G_IndexMoMDifferenceL1","placeholder75"
